,id,country,country_code,country_population,province,county,last_updated,coordinates.latitude,coordinates.longitude,latest.confirmed,latest.deaths,latest.recovered
113,113,US,US,327167434,Texas,"Hale County, Texas",2021-05-06T16:31:00Z,34.07052809,-101.8268085,6116,155,0
114,114,US,US,327167434,Texas,"Hunt County, Texas",2021-05-06T16:31:00Z,33.13330985,-96.08803634,5955,168,0
115,115,US,US,327167434,Texas,"Henderson County, Texas",2021-05-06T16:31:00Z,32.20986317,-95.84344062,5864,184,0
116,116,US,US,327167434,Texas,"Lamar County, Texas",2021-05-06T16:31:00Z,33.66742106,-95.57087079,5823,155,0
117,117,US,US,327167434,Texas,"Navarro County, Texas",2021-05-06T16:31:00Z,32.0498125,-96.48283409,5788,154,0
118,118,US,US,327167434,Texas,"Atascosa County, Texas",2021-05-06T16:31:00Z,28.89353491,-98.52710951,5760,150,0
119,119,US,US,327167434,Texas,"Hardin County, Texas",2021-05-06T16:31:00Z,30.33236369,-94.39028561,5711,111,0
120,120,US,US,327167434,Texas,"Caldwell County, Texas",2021-05-06T16:31:00Z,29.83712413,-97.61996606,5593,97,0
121,121,US,US,327167434,Texas,"Medina County, Texas",2021-05-06T16:31:00Z,29.35563822,-99.11002449,4998,103,0
122,122,US,US,327167434,Texas,"Chambers County, Texas",2021-05-06T16:31:00Z,29.73914352,-94.60816907,4956,49,0
123,123,US,US,327167434,Texas,"Harrison County, Texas",2021-05-06T16:31:00Z,32.54669101,-94.37419702,4829,108,0
124,124,US,US,327167434,Texas,"Burnet County, Texas",2021-05-06T16:31:00Z,30.78851107,-98.18240019,4737,64,0
125,125,US,US,327167434,Texas,"Howard County, Texas",2021-05-06T16:31:00Z,32.30610786,-101.4354618,4640,101,0
126,126,US,US,327167434,Texas,"Nacogdoches County, Texas",2021-05-06T16:31:00Z,31.62343014,-94.62108091,4516,169,0
127,127,US,US,327167434,Texas,"Kerr County, Texas",2021-05-06T16:31:00Z,30.06149667,-99.35021453,4492,88,0
128,128,US,US,327167434,Texas,"Hill County, Texas",2021-05-06T16:31:00Z,31.99068984,-97.13244714,4489,108,0
129,129,US,US,327167434,Texas,"Wilson County, Texas",2021-05-06T16:31:00Z,29.17400077,-98.08650902,4484,68,0
130,130,US,US,327167434,Texas,"San Patricio County, Texas",2021-05-06T16:31:00Z,27.95808,-97.77217,4346,148,0
131,131,US,US,327167434,Texas,"Van Zandt County, Texas",2021-05-06T16:31:00Z,32.56229951,-95.83587208,4296,117,0
132,132,US,US,327167434,Texas,"Jim Wells County, Texas",2021-05-06T16:31:00Z,27.73131457,-98.08982112,4266,101,0
133,133,US,US,327167434,Texas,"Brown County, Texas",2021-05-06T16:31:00Z,31.77427489,-98.99985028,4235,136,0
134,134,US,US,327167434,Texas,"Erath County, Texas",2021-05-06T16:31:00Z,32.23626376,-98.21778772,4183,69,0
135,135,US,US,327167434,Texas,"Cherokee County, Texas",2021-05-06T16:31:00Z,31.83697709,-95.16516716,4167,140,0
136,136,US,US,327167434,Texas,"Waller County, Texas",2021-05-06T16:31:00Z,30.0107507,-95.98760507,4116,46,0
137,137,US,US,327167434,Texas,"Wharton County, Texas",2021-05-06T16:31:00Z,29.27780211,-96.22208396,4098,115,0
138,138,US,US,327167434,Texas,"Washington County, Texas",2021-05-06T16:31:00Z,37.65871,-85.13231999999998,4047,93,0
139,139,US,US,327167434,Texas,"Matagorda County, Texas",2021-05-06T16:31:00Z,28.69123,-95.96755,4037,109,0
140,140,US,US,327167434,Texas,"Rusk County, Texas",2021-05-06T16:31:00Z,31.796,-95.1502,3947,107,0
141,141,US,US,327167434,Texas,"Cooke County, Texas",2021-05-06T16:31:00Z,33.64127265,-97.21703483,3714,72,0
142,142,US,US,327167434,Texas,"Titus County, Texas",2021-05-06T16:31:00Z,33.21641768,-94.96537845,3708,84,0
143,143,US,US,327167434,Texas,"Grimes County, Texas",2021-05-06T16:31:00Z,30.54365581,-95.98530182,3693,69,0
144,144,US,US,327167434,Texas,"Uvalde County, Texas",2021-05-06T16:31:00Z,29.35736353,-99.76218986,3574,72,0
145,145,US,US,327167434,Texas,"Bee County, Texas",2021-05-06T16:31:00Z,28.41736435,-97.74112569,3494,72,0
146,146,US,US,327167434,Texas,"Fannin County, Texas",2021-05-06T16:31:00Z,33.59309617,-96.10695931,3488,108,0
147,147,US,US,327167434,Texas,"Wood County, Texas",2021-05-06T16:31:00Z,32.78211328,-95.37213602,3424,128,0
148,148,US,US,327167434,Texas,"Kendall County, Texas",2021-05-06T16:31:00Z,29.94467657,-98.71160748,3299,72,0
149,149,US,US,327167434,Texas,"Polk County, Texas",2021-05-06T16:31:00Z,30.79487495,-94.81733825,3282,114,0
150,150,US,US,327167434,Texas,"Upshur County, Texas",2021-05-06T16:31:00Z,32.7363127,-94.94142272,3260,74,0
151,151,US,US,327167434,Texas,"Hopkins County, Texas",2021-05-06T16:31:00Z,33.14926045,-95.5636767,3088,109,0
152,152,US,US,327167434,Texas,"Willacy County, Texas",2021-05-06T16:31:00Z,26.47115592,-97.64817396,2966,88,0
153,153,US,US,327167434,Texas,"Palo Pinto County, Texas",2021-05-06T16:31:00Z,32.76798,-98.29969,2891,75,0
154,154,US,US,327167434,Texas,"Frio County, Texas",2021-05-06T16:31:00Z,28.86770959,-99.10822665,2827,50,0
155,155,US,US,327167434,Texas,"Hockley County, Texas",2021-05-06T16:31:00Z,33.60748276,-102.3430332,2819,103,0
156,156,US,US,327167434,Texas,"Deaf Smith County, Texas",2021-05-06T16:31:00Z,34.96599069,-102.6047754,2810,66,0
157,157,US,US,327167434,Texas,"Limestone County, Texas",2021-05-06T16:31:00Z,31.54539187,-96.58049287,2774,76,0
158,158,US,US,327167434,Texas,"Jones County, Texas",2021-05-06T16:31:00Z,32.73977974,-99.8785734,2755,55,0
159,159,US,US,327167434,Texas,"Gonzales County, Texas",2021-05-06T16:31:00Z,29.45673157,-97.49257797,2739,57,0
160,160,US,US,327167434,Texas,"Fayette County, Texas",2021-05-06T16:31:00Z,29.87685606,-96.91966842,2710,61,0
161,161,US,US,327167434,Texas,"Kleberg County, Texas",2021-05-06T16:31:00Z,27.43353551,-97.73255395,2639,93,0
162,162,US,US,327167434,Texas,"Gillespie County, Texas",2021-05-06T16:31:00Z,30.31802585,-98.94627637,2553,50,0
163,163,US,US,327167434,Texas,"Milam County, Texas",2021-05-06T16:31:00Z,30.7863001,-96.97674797,2527,48,0
164,164,US,US,327167434,Texas,"Moore County, Texas",2021-05-06T16:31:00Z,35.83767359,-101.8928797,2526,72,0
165,165,US,US,327167434,Texas,"Lavaca County, Texas",2021-05-06T16:31:00Z,29.38432888,-96.93010975,2477,76,0
166,166,US,US,327167434,Texas,"Jasper County, Texas",2021-05-06T16:31:00Z,30.73721008,-94.02387685,2470,90,0
167,167,US,US,327167434,Texas,"Scurry County, Texas",2021-05-06T16:31:00Z,32.74630052,-100.9164051,2427,62,0
168,168,US,US,327167434,Texas,"Burleson County, Texas",2021-05-06T16:31:00Z,30.49243598,-96.62127937,2398,46,0
169,169,US,US,327167434,Texas,"Gray County, Texas",2021-05-06T16:31:00Z,35.40129425,-100.8124244,2313,56,0
170,170,US,US,327167434,Texas,"Calhoun County, Texas",2021-05-06T16:31:00Z,28.48708494,-96.64640773,2294,23,0
171,171,US,US,327167434,Texas,"Lamb County, Texas",2021-05-06T16:31:00Z,34.0685977,-102.3516334,2286,82,0
172,172,US,US,327167434,Texas,"Dimmit County, Texas",2021-05-06T16:31:00Z,28.42249934,-99.75685975,2249,32,0
173,173,US,US,327167434,Texas,"Lee County, Texas",2021-05-06T16:31:00Z,30.31066462,-96.96567821,2189,39,0
174,174,US,US,327167434,Texas,"Lampasas County, Texas",2021-05-06T16:31:00Z,31.1962409,-98.24140876,2178,32,0
175,175,US,US,327167434,Texas,"Young County, Texas",2021-05-06T16:31:00Z,33.17729201,-98.68842601,2164,44,0
176,176,US,US,327167434,Texas,"Austin County, Texas",2021-05-06T16:31:00Z,29.88669551,-96.27745759,2147,34,0
177,177,US,US,327167434,Texas,"Robertson County, Texas",2021-05-06T16:31:00Z,31.02699864,-96.51276066,2122,41,0
178,178,US,US,327167434,Texas,"Karnes County, Texas",2021-05-06T16:31:00Z,28.90563081,-97.85942123,2102,37,0
179,179,US,US,327167434,Texas,"Falls County, Texas",2021-05-06T16:31:00Z,31.25318333,-96.93577343,2087,32,0
180,180,US,US,327167434,Texas,"Montague County, Texas",2021-05-06T16:31:00Z,33.6746124,-97.72473974,2084,71,0
181,181,US,US,327167434,Texas,"Hutchinson County, Texas",2021-05-06T16:31:00Z,35.83997777,-101.3546564,2012,71,0
182,182,US,US,327167434,Texas,"Madison County, Texas",2021-05-06T16:31:00Z,30.96554711,-95.9283315,1964,29,0
183,183,US,US,327167434,Texas,"DeWitt County, Texas",2021-05-06T16:31:00Z,29.08205895,-97.3568176,1932,59,0
184,184,US,US,327167434,Texas,"Cass County, Texas",2021-05-06T16:31:00Z,33.0735188,-94.34505411,1918,82,0
185,185,US,US,327167434,Texas,"Wilbarger County, Texas",2021-05-06T16:31:00Z,34.08017734,-99.24080972,1909,55,0
186,186,US,US,327167434,Texas,"Freestone County, Texas",2021-05-06T16:31:00Z,31.70266446,-96.14935708,1895,50,0
187,187,US,US,327167434,Texas,"Zavala County, Texas",2021-05-06T16:31:00Z,28.86616929,-99.7605283,1883,43,0
188,188,US,US,327167434,Texas,"Jackson County, Texas",2021-05-06T16:31:00Z,28.95558096,-96.57874644,1822,31,0
189,189,US,US,327167434,Texas,"Andrews County, Texas",2021-05-06T16:31:00Z,32.30502248,-102.6378207,1816,47,0
190,190,US,US,327167434,Texas,"Reeves County, Texas",2021-05-06T16:31:00Z,31.32294987,-103.6930426,1776,43,0
191,191,US,US,327167434,Texas,"Zapata County, Texas",2021-05-06T16:31:00Z,27.00998653,-99.16702509,1766,36,0
192,192,US,US,327167434,Texas,"Dawson County, Texas",2021-05-06T16:31:00Z,32.74256634,-101.9475345,1735,68,0
193,193,US,US,327167434,Texas,"Colorado County, Texas",2021-05-06T16:31:00Z,29.62086756,-96.52629253,1720,30,0
194,194,US,US,327167434,Texas,"Terry County, Texas",2021-05-06T16:31:00Z,33.1737093,-102.3349442,1692,56,0
195,195,US,US,327167434,Texas,"Shelby County, Texas",2021-05-06T16:31:00Z,31.79265177,-94.15604336,1676,67,0
