state,county,NAME,Doctorate degree ,Professional school degree,Masters degree,Bachelors degree,population_size
72,099,"Moca Municipio, Puerto Rico",286,233,929,3570,25074
72,123,"Salinas Municipio, Puerto Rico",187,0,586,2588,19204
29,133,"Mississippi County, Missouri",28,38,345,713,9734
29,153,"Ozark County, Missouri",12,25,269,449,6873
29,017,"Bollinger County, Missouri",19,9,215,531,8718
47,165,"Sumner County, Tennessee",1101,1772,8383,24031,125677
47,169,"Trousdale County, Tennessee",17,14,292,670,7196
47,027,"Clay County, Tennessee",0,79,174,524,5588
17,139,"Moultrie County, Illinois",43,82,556,1164,9894
17,149,"Pike County, Illinois",24,101,432,1394,10948
17,151,"Pope County, Illinois",0,5,172,258,3332
17,163,"St. Clair County, Illinois",1129,2740,16824,29261,178334
17,173,"Shelby County, Illinois",17,34,765,1803,15577
17,019,"Champaign County, Illinois",7028,3804,17918,26163,121964
17,013,"Calhoun County, Illinois",18,19,179,281,3490
17,053,"Ford County, Illinois",38,32,574,1339,9287
17,089,"Kane County, Illinois",3252,5167,32426,73838,346073
17,093,"Kendall County, Illinois",555,882,9263,17958,79230
17,009,"Brown County, Illinois",17,24,143,500,4863
17,121,"Marion County, Illinois",81,218,1105,2575,26236
17,125,"Mason County, Illinois",27,55,396,1104,9863
17,075,"Iroquois County, Illinois",71,116,865,2077,19697
17,025,"Clay County, Illinois",59,99,294,946,9338
17,059,"Gallatin County, Illinois",33,8,77,284,3704
17,133,"Monroe County, Illinois",362,357,2260,5481,24144
17,181,"Union County, Illinois",92,90,703,1774,12232
17,201,"Winnebago County, Illinois",1268,2612,12408,28076,193982
17,153,"Pulaski County, Illinois",12,62,119,294,3894
17,169,"Schuyler County, Illinois",64,35,250,711,5195
17,045,"Edgar County, Illinois",46,91,559,1486,12655
17,007,"Boone County, Illinois",266,690,2233,5023,35008
17,011,"Bureau County, Illinois",157,343,1054,3305,23582
17,029,"Coles County, Illinois",646,418,2582,4909,32961
17,033,"Crawford County, Illinois",67,66,623,1595,13776
17,155,"Putnam County, Illinois",16,46,191,448,4233
17,039,"De Witt County, Illinois",69,65,469,1822,11381
17,103,"Lee County, Illinois",109,222,1397,2819,24978
17,117,"Macoupin County, Illinois",113,321,1531,3969,32287
17,159,"Richland County, Illinois",39,90,596,1585,10995
17,189,"Washington County, Illinois",45,87,560,1421,10102
41,067,"Washington County, Oregon",11453,9300,48224,110748,404385
41,007,"Clatsop County, Oregon",369,300,1866,4409,28475
42,023,"Cameron County, Pennsylvania",9,19,93,364,3548
42,017,"Bucks County, Pennsylvania",8783,11583,55126,109272,447515
42,077,"Lehigh County, Pennsylvania",3304,4541,21730,44829,248891
42,031,"Clarion County, Pennsylvania",318,295,1780,3452,26438
42,059,"Greene County, Pennsylvania",215,111,1210,3086,26246
42,079,"Luzerne County, Pennsylvania",2119,3162,14539,32128,227089
42,037,"Columbia County, Pennsylvania",550,460,2878,6122,43717
42,065,"Jefferson County, Pennsylvania",195,264,1346,3170,31227
42,099,"Perry County, Pennsylvania",65,254,1401,3727,32714
42,113,"Sullivan County, Pennsylvania",38,46,220,542,4919
44,003,"Kent County, Rhode Island",1392,2250,11276,25355,121030
44,009,"Washington County, Rhode Island",2468,2543,12315,22569,86484
45,071,"Newberry County, South Carolina",195,102,1202,3169,26035
45,027,"Clarendon County, South Carolina",160,170,1044,2284,24260
45,085,"Sumter County, South Carolina",355,595,3997,8584,70123
45,011,"Barnwell County, South Carolina",17,52,600,1121,14271
